Product_Category,total_revenue
Movies,2127649.79
Toys,2107808.73
Books,2104440.86
Jewelry,2098907.32
Appliances,2096142.06
Personal Care,2091050.94
Groceries,2090515.92
Health,2087823.44
Music,2086191.8
Beauty,2081590.41
Sports,2078401.5
Furniture,2076003.13
Office Supplies,2064491.58
Clothing,2061267.99
Pet Supplies,2051885.55
Baby Products,2046518.86
Garden,2045201.33
Outdoor,2036937.3
DIY,2034444.29
Tools,2022642.75
Home & Kitchen,2022613.49
Electronics,2011872.37
Software,1997551.15
Automotive,1993419.97
