Sales_Region,total_revenue
South Michael,45991.44
Lake Michael,43439.88
New Michael,41517.0
North John,40308.55
West Michael,38881.67
North Michael,38533.22
Port Michael,38270.12
East Michael,37818.75
Michaelmouth,35502.7
West Christopher,34782.92
West John,33036.66
West James,32721.04
Lake Jennifer,29664.19
West Jennifer,29274.78
Port David,29268.7
Port James,28678.48
East David,27985.25
South James,27865.85
Lake Robert,27618.06
West David,27517.06
Lake James,27454.11
Lake John,27301.43
North Jennifer,27286.32
New David,26875.33
Johnmouth,26307.86
North Robert,26146.38
Lake David,26067.07
Port Christopher,25936.64
Port John,25665.41
West Robert,25528.96
Smithmouth,25431.48
East Robert,25171.2
Port Jennifer,25039.2
South Christopher,24855.27
New Christopher,24721.25
East John,24698.04
East James,24577.83
South Jennifer,24156.39
South John,23678.79
Port William,23653.71
North Jessica,23649.76
New Jennifer,23562.7
New Robert,23459.98
Lake Christopher,23310.510000000002
North David,23156.16
South David,23043.04
West Lisa,23018.72
Johnsonmouth,22761.28
East Christopher,22451.79
Port Matthew,22091.4
South Robert,22049.34
South William,22043.12
North James,21959.78
Lake William,21750.13
East Jennifer,21577.69
North William,20691.78
Christophermouth,20595.68
New James,20507.11
East Jessica,20500.48
Thomasmouth,20472.5
Port Jessica,20362.9
South Jessica,20211.73
Jennifermouth,20116.3
Port Joseph,19937.26
New John,19934.51
West Jessica,19800.73
Lake Matthew,19727.91
New Jessica,19696.55
Williamsmouth,19616.16
Michaelville,19468.21
Jamesmouth,19442.34
Port Ashley,19226.44
Smithburgh,19209.39
East Amanda,19143.78
Michaelborough,19113.18
Port Robert,19090.23
New Matthew,19040.329999999998
South Lisa,18861.35
Michaelview,18850.23
Smithland,18797.62
New Lisa,18782.98
South Kimberly,18776.32
East Kevin,18752.59
North Lisa,18727.63
North Brian,18724.66
South Daniel,18713.52
Smithberg,18703.96
Smithfurt,18221.12
Michaelton,18127.92
Lake Mary,18122.98
East William,17964.01
Michaelshire,17868.52
Jameston,17798.6
North Daniel,17735.25
West Andrew,17728.44
Millermouth,17686.4
West Thomas,17596.86
Port Melissa,17528.1
Matthewmouth,17490.4
West Brian,17443.38
Port Daniel,17340.04
New Richard,17294.62
